name,candidate_type,city,gugun,category,address,lat,lng,tel,closed_day,week_start,week_end,sat_start,sat_end,holiday_start,holiday_end,seat,books,publications,nonbook,loan_num,loan_day,organization,site_area,build_area,homepage,data_date,inst_code,inst_name
유엔평화기념관 작은도서관,도서관,부산광역시,남구,작은도서관,"부산광역시 남구 홍곡로320번길 106, (대연동) 유엔기념관 3층",35.12475247,129.0932269,-,월,10:00,17:00,10:00,17:00,10:00,17:00,29,1829,3,20,0,0,-,-,-,-,2022-06-09,3310000,-
작은나무 큰숲도서관,도서관,부산광역시,남구,작은도서관,부산광역시 남구 용호로159번길 10(용호동),35.11776708,129.1121662,051-627-1692,일+공휴일,13:00,18:00,13:00,18:00,0:00,0:00,8,2000,1,0,10,7,-,-,-,-,2022-06-09,3310000,-
작은나무숲,도서관,부산광역시,남구,작은도서관,부산광역시 남구 양지골로 141(감만동),35.11503961,129.086086,-,토+일+공휴일,14:00,19:00,0:00,0:00,0:00,0:00,25,10000,1,10,2,7,-,-,-,-,2022-06-09,3310000,-
문현마을문고,도서관,부산광역시,남구,작은도서관,부산광역시 남구 수영로39번길 35(문현동),35.13856777,129.0721879,051-642-1515,토+일+공휴일,9:00,18:00,0:00,0:00,0:00,0:00,20,1982,15,0,5,14,-,-,-,-,2022-06-09,3310000,-
부산광역시남구도서관,도서관,부산광역시,남구,공공도서관,부산광역시 남구 수영로 267번길 61(대연동),35.13769624,129.0945671,051-621-8160,월+국경일+정부지정공휴일,7:00,23:00,7:00,23:00,7:00,23:00,486,22203,248,9557,5,15,부산광역시 남구청,7033,1162,library.bsnamgu.go.kr,2022-06-09,3310000,-
부산시여성회관 작은도서관,도서관,부산광역시,남구,작은도서관,부산광역시 남구 수영로 356(대연동),35.13902794,129.1045618,051-610-2001,토+일+공휴일,10:00,18:00,0:00,0:00,0:00,0:00,6,5664,0,0,5,14,부산광역시여성회관,-,-,-,2022-06-09,3310000,-
북조아 작은 도서관,도서관,부산광역시,남구,작은도서관,부산광역시 남구 우암양달로89번길 28-3(우암동),35.12716159,129.0751982,051-647-3655,토+일+공휴일,9:00,18:00,0:00,0:00,0:00,0:00,30,6918,0,207,3,7,-,-,-,-,2022-06-09,3310000,-
브니엘 학습관 문고,도서관,부산광역시,남구,작은도서관,부산광역시 남구 천제등로28번길 50(대연동),35.13181232,129.0864876,051-624-5052,토+일+공휴일,10:30,20:00,0:00,0:00,0:00,0:00,10,1800,0,0,0,0,-,-,-,-,2022-06-09,3310000,-
산성교회문고,도서관,부산광역시,남구,작은도서관,부산광역시 남구 유엔로137번길 9(대연동),35.1306288,129.0911566,051-627-7028,목,9:30,16:30,9:30,13:00,16:30,18:00,56,3449,0,0,2,14,-,-,-,-,2022-06-09,3310000,-
샘터꿈의도서관,도서관,부산광역시,남구,작은도서관,부산광역시 남구 조각공원로27번길 12(대연동),35.1295489,129.1006546,051-628-6009,월+일+공휴일,14:00,18:00,14:00,18:00,0:00,0:00,30,16800,38,35,3,7,-,-,-,-,2022-06-09,3310000,-
동항작은도서관,도서관,부산광역시,남구,작은도서관,부산광역시 남구 우암로75번길 7(감만동),35.11731796,129.0802105,051-644-3881,연중무휴,9:00,21:00,9:00,21:00,9:00,21:00,30,2600,1,0,2,7,-,-,-,-,2022-06-09,3310000,-
들꽃이야기 작은도서관,도서관,부산광역시,남구,작은도서관,부산광역시 남구 수영로219번길 33(대연동),35.13667418,129.0902976,051-621-9577,토+일+공휴일,13:00,18:00,0:00,0:00,0:00,0:00,18,8850,11,30,2,15,-,-,-,-,2022-06-09,3310000,-
로뎀나무 아래 작은 도서관,도서관,부산광역시,남구,작은도서관,부산광역시 남구 고동골로97번길 87(문현동),35.14615697,129.0750529,051-636-2602,연중무휴,13:00,17:00,13:00,17:00,13:00,17:00,18,1100,0,0,0,0,-,-,-,-,2022-06-09,3310000,-
LG메트로작은쌈지도서관,도서관,부산광역시,남구,작은도서관,부산광역시 남구 신선로 566-2(용호동) 4층,35.1304025,129.1120832,051-612-2295,토+일+공휴일,10:00,17:00,0:00,0:00,0:00,0:00,38,19820,0,0,2,7,-,-,-,-,2022-06-09,3310000,-
감만꿈터,도서관,부산광역시,남구,작은도서관,부산광역시 남구 우암로 84-1(감만동) 감만사회복지관 5층,35.1184449,129.0813296,051-634-3415,일+공휴일,9:00,22:00,9:00,18:00,0:00,0:00,30,7089,10,0,3,7,-,-,-,-,2022-06-09,3310000,-
꿈샘작은도서관,도서관,부산광역시,남구,작은도서관,"부산광역시 남구 유엔로 1-1, 상가동 203호(우암동)",35.12561344,129.0786645,051-632-5165,토+일+공휴일,11:00,20:00,11:00,20:00,0:00,0:00,20,2500,1,0,0,0,-,-,-,-,2022-06-09,3310000,-
꿈이 자라는 작은도서관,도서관,부산광역시,남구,작은도서관,"부산광역시 남구 수영로 219번길 59(대연동, 대연교회 교육관) 2층, 대연지역아동센터",35.1377967,129.0901543,051-621-2904,토+일+공휴일,11:00,20:00,0:00,0:00,0:00,0:00,10,1573,0,0,0,0,-,-,-,-,2022-06-09,3310000,-
대동골문화센터작은도서관,도서관,부산광역시,남구,작은도서관,부산광역시 남구 황령대로319번가길 147(대연동),35.15240486,129.0889884,051-607-3380,월+공휴일,11:00,17:00,11:00,17:00,0:00,0:00,17,3457,16,0,2,15,부산광역시 남구청,-,-,-,2022-06-09,3310000,-
대천 작은도서관,도서관,부산광역시,남구,작은도서관,부산광역시 남구 유엔평화로47번길 125(대연동),35.13088792,129.0990991,051-627-5622,토+일+공휴일,9:00,18:00,0:00,0:00,0:00,0:00,20,860,0,0,1,14,-,-,-,-,2022-06-09,3310000,-
사상도서관,도서관,부산광역시,사상구,공공도서관,부산광역시 사상구 덕상로72번길 9(덕포동),35.1781087,128.9897885,051-310-7971,매주월요일+공휴일,9:00,22:00,9:00,18:00,0:00,0:00,330,153860,38,13254,5,14,부산광역시 사상구청,6634,3650.93,www.sasang.go.kr/library,2022-11-25,3390000,-
고맙습니다 보물섬 작은도서관,도서관,부산광역시,사상구,작은도서관,"부산광역시 사상구 모라로 110번길 129, 모라종합사회복지관 2층",35.18494335,128.9978757,051-304-9876,매주토요일+매주일요일+공휴일,9:00,18:00,0:00,0:00,0:00,0:00,70,12729,3,0,4,14,모라종합사회복지관,-,219,www.moraswc.or.kr,2022-11-25,3390000,-
꿈나래 작은도서관,도서관,부산광역시,사상구,작은도서관,"부산광역시 사상구 백양대로 527, 2층(주례동, 사상종합사회복지관)",35.15542866,128.9947835,051-314-8948,매주토요일+매주일요일+공휴일,9:00,18:00,0:00,0:00,0:00,0:00,12,6440,0,0,5,14,사상구종합사회복지관,-,113,www.swc.or.kr/,2022-11-25,3390000,-
다문화 도서관,도서관,부산광역시,사상구,작은도서관,"부산광역시 사상구 사상로 448(모라동), 부산은행 3층",35.1843921,128.9869074,051-304-4724,매주토요일+매주일요일+공휴일,9:00,18:00,0:00,0:00,0:00,0:00,28,3836,0,0,10,14,(사)이주민과함께,-,297,www.bfwc.or.kr,2022-11-25,3390000,-
모라1동 작은도서관,도서관,부산광역시,사상구,작은도서관,부산광역시 사상구 모라로 93 (모라1동 행정복지센터 2층),35.18700199,128.9898757,051-310-5242,매주토요일+매주일요일+공휴일,9:00,18:00,0:00,0:00,0:00,0:00,44,5897,0,0,3,14,모라1동 작은도서관 운영위원회,-,152,-,2022-11-25,3390000,-
부산광역시 여성문화회관 도서정보자료실,도서관,부산광역시,사상구,작은도서관,"부산광역시 사상구 학감대로 95, (학장동)",35.14008226,128.9898143,051-320-8341,매주토요일+매주일요일+공휴일,9:00,17:00,0:00,0:00,0:00,0:00,44,3428,8,211,3,14,부산광역시 여성문화회관,-,152,-,2022-11-25,3390000,-
사상 작은도서관,도서관,부산광역시,사상구,작은도서관,"부산광역시 사상구 새벽로168번길 61, (감전동)",35.1556229,128.9866946,051-310-3242,매주일요일+공휴일,9:00,21:00,9:00,18:00,0:00,0:00,16,15000,0,0,3,14,사상구청 평생교육과,-,84,www.sasang.go.kr/lll/index.sasang,2022-11-25,3390000,-
샘물 작은도서관,도서관,부산광역시,사상구,작은도서관,"부산광역시 사상구 엄궁북로4번길 32-10, (엄궁동)",35.12766315,128.9711234,051-322-0675,매주토요일+매주일요일+공휴일,10:00,17:00,0:00,0:00,0:00,0:00,20,3300,0,0,0,0,박미주,-,70,-,2022-11-25,3390000,-
어린이&amp;가족도서관 꿈꾸는 글나라,도서관,부산광역시,사상구,작은도서관,"부산광역시 사상구 낙동대로 704, 큐라이트빌딩 7층(엄궁동)",35.12462613,128.9670224,051-243-4843,매주월요일+매주일요일+공휴일,13:00,18:00,10:00,15:00,0:00,0:00,30,9674,0,121,2,7,(사)한국독서문화재단,-,261,www.gulnara.net,2022-11-25,3390000,-
주례쌈지작은도서관,도서관,부산광역시,사상구,작은도서관,"부산광역시 사상구 냉정로 10, (주례동)",35.1473492,129.0014194,051-310-3345,매주일요일+공휴일,9:00,18:00,10:30,13:30,0:00,0:00,30,14313,0,0,5,14,주례쌈지 작은도서관 운영위원회 백승렬,-,82,-,2022-11-25,3390000,-
