dept,addrRoad,tel,gugun,dataDay,posCd,lat,lng
우2동행정복지센터,부산광역시 해운대구 해운대로383번가길 7,051-749-6631,해운대구,2025-12-02,48062,35.17120479,129.1399308
우1동행정복지센터,부산광역시 해운대구 해운대로 612,051-749-5814,해운대구,2025-12-02,48094,35.16287472,129.1581011
우3동행정복지센터,부산광역시 해운대구 해운대해변로 104,051-749-6661,해운대구,2025-12-02,48092,35.1597344,129.1433048
중1동행정복지센터,부산광역시 해운대구 중동1로37번길 20,051-749-5834,해운대구,2025-12-02,48095,35.16252765,129.16421
중2동행정복지센터,부산광역시 해운대구 좌동순환로433번길 34,051-749-6691,해운대구,2025-12-02,48114,35.16195072,129.1791075
재송1동행정복지센터,부산광역시 해운대구 재반로63번길 23,051-749-6931,해운대구,2025-12-02,48056,35.18462912,129.1251975
반송2동행정복지센터,부산광역시 해운대구 신반송로 173,051-749-6881,해운대구,2025-12-02,48009,35.22884239,129.1604121
좌1동행정복지센터,부산광역시 해운대구 양운로 91,051-749-6721,해운대구,2025-12-02,48102,35.17088596,129.174209
좌2동행정복지센터,부산광역시 해운대구 좌동순환로 302,051-749-6751,해운대구,2025-12-02,48110,35.16909159,129.1826027
좌3동행정복지센터,부산광역시 해운대구 좌동순환로 65,051-749-6781,해운대구,2025-12-02,48084,35.17226648,129.1666104
좌4동행정복지센터,부산광역시 해운대구 좌동순환로 183,051-749-6811,해운대구,2025-12-02,48075,35.17787894,129.1762419
송정동행정복지센터,부산광역시 해운대구 송정중앙로21번길 20,051-749-6301,해운대구,2025-12-02,48070,35.18365688,129.2037182
반여1동행정복지센터,부산광역시 해운대구 선수촌로 85,051-749-6331,해운대구,2025-12-02,48038,35.20114644,129.1189355
반여2동행정복지센터,부산광역시 해운대구 재반로211번길 9,051-749-6361,해운대구,2025-12-02,48029,35.19588635,129.1301406
반여3동행정복지센터,부산광역시 해운대구 재반로256번길 29-70,051-749-6401,해운대구,2025-12-02,48025,35.20099272,129.1335059
반여4동행정복지센터,부산광역시 해운대구 삼어로133번길 50,051-749-6421,해운대구,2025-12-02,48044,35.20923985,129.1170917
재송2동행정복지센터,부산광역시 해운대구 재반로125번길 26,051-749-6471,해운대구,2025-12-02,48054,35.18965736,129.1253548
반송1동행정복지센터,부산광역시 해운대구 아랫반송로 16,051-749-6871,해운대구,2025-12-02,48018,35.22516703,129.147903
안락1동행정복지센터,부산광역시 동래구 안연로110번길 9,051-550-6506,부산광역시 동래구,2023-12-31,47889,35.1969026041,129.0985737684
안락2동행정복지센터,부산광역시 동래구 명안로18번길 103,051-550-6521,부산광역시 동래구,2023-12-31,47793,35.19775339,129.1100650198
수민동행정복지센터,부산광역시 동래구 온천천로339번길 48,051-550-6301,부산광역시 동래구,2023-12-31,47886,35.196033546,129.0910487606
명장1동행정복지센터,부산광역시 동래구 명장로 32,051-550-6541,부산광역시 동래구,2023-12-31,47773,35.2046966233,129.1042478326
명장2동행정복지센터,부산광역시 동래구 명서로 168,051-550-6561,부산광역시 동래구,2023-12-31,47764,35.2079714947,129.1024167309
남구 대연5동행정복지센터,부산광역시 남구 진남로46번길 7 (대연동),051-607-4805,부산광역시 남구,2024-07-31,48437,35.13845516,129.0901611
남구 대연6동행정복지센터,부산광역시 남구 못골로13 (대연동),051-607-4806,부산광역시 남구,2024-07-31,48453,35.13730809,129.0831763
남구 용호1동행정복지센터,부산광역시 남구 용호로42번길 140 (용호동),051-607-4807,부산광역시 남구,2024-07-31,48525,35.12079303,129.1090285
남구 용호2동행정복지센터,부산광역시 남구 용호로197번길 41 (용호동),051-607-4808,부산광역시 남구,2024-07-31,48587,35.11483084,129.1134273
남구 용호3동행정복지센터,부산광역시 남구 동명로145번길 33 (용호동),051-607-4809,부산광역시 남구,2024-07-31,48579,35.12101951,129.1128084
남구 용호4동행정복지센터,부산광역시 남구 용호로216번길 10 (용호동),051-607-4810,부산광역시 남구,2024-07-31,48568,35.11320766,129.1104084
남구 문현3동행정복지센터,부산광역시 남구 고동골로4번길 7-18 (문현동),051-607-4818,부산광역시 남구,2024-07-31,48419,35.13814557,129.0716877
남구 대연3동행정복지센터,"부산광역시 남구 수영로 345 (대연동, 대연힐스테이트푸르지오 상가동 2층 216호)",051-607-4803,부산광역시 남구,2024-07-31,48432,35.13988753,129.1035202
남구 대연4동행정복지센터,부산광역시 남구 석포로91번길 96 (대연동),051-607-4804,부산광역시 남구,2024-07-31,48485,35.12980843,129.0914149
남구 우암동행정복지센터,부산광역시 남구 동제당로 368 (우암동),051-607-4814,부산광역시 남구,2024-07-31,48474,35.125054,129.076972
남구 대연1동행정복지센터,부산광역시 남구 유엔평화로 24 (대연동),051-607-4801,부산광역시 남구,2024-07-31,48494,35.1328936,129.0917614
남구 문현1동행정복지센터,부산광역시 남구 고동골로60번길 1 (문현동),051-607-4816,부산광역시 남구,2024-07-31,48416,35.14253417,129.0713224
남구 문현4동행정복지센터,"부산광역시 남구 수영로 12, 3층 (문현동)",051-607-4819,부산광역시 남구,2024-07-31,48456,35.13619559,129.0691279
대저1동 행정복지센터,부산광역시 강서구 대저로221번길 19(대저1동),051-970-4409,강서구,2025-12-09,46702,35.215466,128.976839
대저2동 행정복지센터,부산광역시 강서구 공항로811번가길 30-1(대저2동),051-970-4922,강서구,2025-12-09,46720,35.178545,128.956481
강동동 행정복지센터,부산광역시 강서구 제도로 1171(강동동),051-970-2937,강서구,2025-12-09,46706,35.214523,128.935266
명지1동 행정복지센터,부산광역시 강서구 명지국제8로 131(명지동),051-970-4924,강서구,2025-12-09,46724,35.097942812894,128.919102327247
명지2동 행정복지센터,부산광역시 강서구 명지오션시티11로 35(명지동),051-970-2984,강서구,2025-12-09,46762,35.084564,128.900068
가락동 행정복지센터,부산광역시 강서구 가락대로 1476(죽림동),051-970-2954,강서구,2025-12-09,46707,35.196407,128.901807
녹산동 행정복지센터,부산광역시 강서구 가락대로900번가길 32(범방동),051-970-4621,강서구,2025-12-09,46727,35.153525,128.883783
신호동 행정복지센터,부산광역시 강서구 신호사로 56(신호동),051-970-2861,강서구,2025-12-09,46759,35.0854396245594,128.879121225582
가덕도동 행정복지센터,부산광역시 강서구 동선길 10(성북동),051-970-4637,강서구,2025-12-09,46769,35.05664,128.831651
남구 문현2동행정복지센터,부산광역시 남구 전포대로92번길 31-7 (문현동),051-607-4817,부산광역시 남구,2024-07-31,48404,35.14527179,129.0686869
남구 용당동행정복지센터,부산광역시 남구 신선로 349-4 (용당동),051-607-4811,부산광역시 남구,2024-07-31,48548,35.11764739,129.0950541
남구 감만1동행정복지센터,부산광역시 남구 우암로 71-7 (감만동),051-607-4812,부산광역시 남구,2024-07-31,48556,35.11683749,129.0806476
남구 감만2동행정복지센터,부산광역시 남구 석포로 32-1 (감만동),051-607-4813,부산광역시 남구,2024-07-31,48541,35.1225211,129.084539
다대1동행정복지센터,부산광역시 사하구 다대로530번길 7(다대동),051-220-5331,사하구,2025-11-26,49493,35.0591698406982,128.971329378319
다대2동행정복지센터,부산광역시 사하구 다대로429번길 30(다대동),051-220-5361,사하구,2025-11-26,49519,35.0635529810834,128.982008554914
구평동행정복지센터,부산광역시 사하구 서포로 48(구평동),051-220-5391,사하구,2025-11-26,49459,35.0819331524775,128.987826486802
감천1동행정복지센터,부산광역시 사하구 감천로 97(감천동),051-220-5421,사하구,2025-11-26,49373,35.088418139666,129.002839583913
감천2동행정복지센터,부산광역시 사하구 옥천로93번길 14(감천동),051-220-5451,사하구,2025-11-26,49365,35.0946109105866,129.009360435065
장림1동행정복지센터,부산광역시 사하구 장림로161번길 2(장림동),051-220-5271,사하구,2025-11-26,49473,35.0830543165765,128.966871156616
장림2동행정복지센터,부산광역시 사하구 장평로 131(장림동),051-220-5301,사하구,2025-11-26,49482,35.0778788244343,128.972603723467
괴정1동행정복지센터,부산광역시 사하구 낙동대로250번안길 3(괴정동),051-220-5006,사하구,2025-11-26,49341,35.0997607969135,128.989317249944
괴정2동행정복지센터,부산광역시 사하구 까치고개로 14-1(괴정동),051-220-5031,사하구,2025-11-26,49347,35.103398421837,129.004025566746
사직3동행정복지센터,부산광역시 동래구 아시아드대로154번길 79,051-550-6481,부산광역시 동래구,2023-12-31,47841,35.1994535966,129.0694455066
괴정3동행정복지센터,부산광역시 사하구 낙동대로171번길 30-5(괴정동),051-220-5061,사하구,2025-11-26,49351,35.1003417999666,128.998092662462
괴정4동행정복지센터,부산광역시 사하구 낙동대로309번길 9(괴정동),051-220-5091,사하구,2025-11-26,49401,35.0991447388595,128.983159069975
당리동행정복지센터,부산광역시 사하구 낙동대로398번길 21(당리동),051-220-5121,사하구,2025-11-26,49328,35.1039849536902,128.974540950914
하단1동행정복지센터,부산광역시 사하구 하신중앙로 308(하단동),051-220-5151,사하구,2025-11-26,49414,35.1039644999339,128.96424250535
하단2동행정복지센터,부산광역시 사하구 하신번영로 377(하단동),051-220-5181,사하구,2025-11-26,49305,35.1145886266341,128.960522829769
신평1동행정복지센터,부산광역시 사하구 신산로 173(신평동),051-220-5211,사하구,2025-11-26,49442,35.0900496241898,128.974398175634
신평2동행정복지센터,부산광역시 사하구 하신중앙로 185(신평동),051-220-5246,사하구,2025-11-26,49429,35.0949676281423,128.961540805872
초량3동 행정복지센터,부산 동구 초량상로 112,051-440-6141,동구,2025-01-22,,35.1213190617,129.039792492
초량6동 행정복지센터,부산 동구 초량로 75,051-440-6161,동구,2025-01-22,,35.1200286037,129.034522651
수정1동 행정복지센터,부산 동구 홍곡로 71,051-440-6181,동구,2025-01-22,,35.1254190753,129.042255659
수정2동 행정복지센터,부산 동구 수정중로11번길 23,051-440-6202,동구,2025-01-22,,35.1299517298,129.042627302
수정4동 행정복지센터,부산 동구 망양로685번길 2,051-440-6221,동구,2025-01-22,,35.1271106507,129.040683934
초량1동 행정복지센터,부산 동구 중앙대로179번길 33,051-440-6101,동구,2025-01-22,,35.1139359716,129.036962458
초량2동 행정복지센터,부산 동구 중앙대로209번길 30,051-440-6122,동구,2025-01-22,,35.116542237,129.038485156
수정5동 행정복지센터,부산 동구 망양로795번길 2,051-440-6241,동구,2025-01-22,,35.1338940015,129.042396372
좌천동 행정복지센터,부산 동구 좌천남로 19,051-440-6261,동구,2025-01-22,,35.1313895526,129.049153003
범일1동 행정복지센터,부산 동구 범상로 12,051-440-6351,동구,2025-01-22,,35.1412625346,129.049149057
범일2동 행정복지센터,부산 동구 범일로 58,051-440-6321,동구,2025-01-22,,35.1351100146,129.059817814
범일5동 행정복지센터,부산 동구 성남로47번길 13,051-440-6361,동구,2025-01-22,,35.1305073445,129.053802092
남천제2동행정복지센터,부산광역시 수영구 광안해변로 99,051-610-5911,부산광역시 수영구,2023-12-31,48305,35.143814917,129.1147467913
수영동행정복지센터,부산광역시 수영구 수영성로 36,051-610-5921,부산광역시 수영구,2023-12-31,48229,35.1705100083,129.1160513177
망미제1동행정복지센터,부산광역시 수영구 연수로315번길 23,051-610-5931,부산광역시 수영구,2023-12-31,48208,35.173424061,129.1048371921
