연도,시도,시군구,읍면동,일반수급자 가구수,일반수급자 수급권자수,조건부수급자 가구수,조건부수급자 수급권자수,특례수급자 가구수,특례수급자 수급권자수,기타 가구수,기타 수급권자수,시설수급자 가구수,시설수급자 수급권자수
2021,부산광역시,중구,중구,0,0,0,0,0,0,0,0,4,4
2021,부산광역시,중구,중앙동,121,154,18,24,11,11,0,0,12,12
2021,부산광역시,중구,동광동,316,362,30,44,3,3,0,0,0,0
2021,부산광역시,중구,대청동,432,537,54,103,15,19,0,0,0,0
2021,부산광역시,중구,보수동,710,849,94,158,22,28,0,0,0,0
2021,부산광역시,중구,부평동,324,366,53,79,8,11,0,0,0,0
2021,부산광역시,중구,광복동,58,72,2,2,1,1,0,0,0,0
2021,부산광역시,중구,남포동,88,92,17,17,0,0,0,0,0,0
2021,부산광역시,중구,영주1동,346,394,48,76,3,3,0,0,1,1
2021,부산광역시,중구,영주2동,499,603,54,87,20,26,0,0,0,0
2021,부산광역시,서구,서구,19,18,0,0,0,0,0,0,436,436
2021,부산광역시,서구,동대신1동,322,447,28,58,5,7,0,0,0,0
2021,부산광역시,서구,동대신2동,497,668,55,99,10,14,0,0,1,1
2021,부산광역시,서구,동대신3동,351,484,32,64,7,13,0,0,0,0
2021,부산광역시,서구,서대신1동,470,639,47,93,10,13,0,0,1,1
2021,부산광역시,서구,서대신3동,251,333,24,49,8,9,0,0,5,5
2021,부산광역시,서구,서대신4동,210,280,14,27,9,12,0,0,39,39
2021,부산광역시,서구,부민동,346,442,29,55,7,11,1,1,0,0
2021,부산광역시,서구,아미동,953,1168,38,51,22,28,0,0,22,22
2021,부산광역시,서구,초장동,541,657,43,64,13,20,0,0,0,0
2021,부산광역시,서구,충무동,620,752,54,86,13,15,0,0,1,1
2021,부산광역시,서구,남부민1동,520,629,32,46,19,21,0,0,0,0
2021,부산광역시,서구,남부민2동,910,1209,67,106,29,43,0,0,0,0
2021,부산광역시,서구,암남동,597,774,46,76,22,30,0,0,199,199
